AGR2
CEACAM6
FN1
AZGP1
CLDN3
C15orf48
ALDH1A1
CRABP2
COL17A1
ACSL5
CDKN2A
CAV1
BST2
CEACAM5
BEX4
FBP1
FGFR1
CXCL1
AREG
CPE
COL6A2
CD74
B3GNT3
ANTXR1
CTHRC1
CLU
CRYAB
CYP2S1
COL4A5
FGFBP1
FAM83E
DPYSL3
ANKRD22
ANO1
CSRP2
BMP7
BMP4
ABCC3
COL6A1
ADIRF
ARMCX2
C1R
AKR1C3
CA2
CADM1
AQP3
C19orf33
CTSS
FOXA1
CCL20
CDC42EP5
DZIP1
F3
FBLN1
CEACAM1
DFNA5
CREB3L1
ADAP1
COL18A1
FAM84A
BASP1
COL4A2
CALD1
ATP2C2
EMP3
FA2H
CDA
DMKN
ADAMTS1
EMB
CFB
CA9
CA12
FADS2
APOL1
ANXA6
APCDD1
C8orf4
ECM1
DKK3
DUSP4
CXCR4
ARHGEF25
ARMCX1
AKR1C2
CRIP1
CDKN2B
CD68
FERMT2
CPVL
FERMT1
EHD2
CD109
ARHGDIB
AKR1B10
BAIAP2L2
ATP8B2
AKAP12
BARX2
B4GALNT4
DPP4
CRIP2
EFCAB4A
BEX2
COL7A1
FBXO17
DAB2
AHNAK2
CAV2
AIF1L
EPDR1
CLDN1
EVA1A
ANXA1
BHLHE41
C4orf48
CRISPLD1
CERS4
ARSE
FGFR4
DAPP1
COCH
DEFB1
FAM129A
CKMT1A
CHST15
CSTA
AIM1L
AMIGO2
EVC
COPZ2
CASP1
BAMBI
CBS
DTNA
EVL
CYP27A1
ATP2A3
CTSF
FGFR2
AKR1C1
DKK1
ACP5
CKMT1B
ARHGEF4
CAMK2N1
ARL4C
C1S
EML1
CAPN8
FAM83B
ARHGAP4
CPQ
EPSTI1
C6orf223
CX3CL1
APOE
CBLC
C1orf116
EFS
CYBRD1
ABLIM3
COL12A1
CHST11
FKBP10
C2orf54
AFAP1L2
FBXO2
EPHB2
DAPK1
F8A2
F8A3
COL4A1
FAM21B
ANO9
FABP6
BZRAP1
CYP3A5
ESPN
FAM20C
ECHDC3
FHOD3
BLNK
COL9A3
FHL1
EPS8L1
CARD16
APBB1
ACOX2
ARHGAP29
ACKR3
CAPN5
CPNE8
CPNE7
ENG
AXIN2
ENTPD2
CXCL3
C16orf74
BCL11A
EHF
ACSM3
CTGF
FGFR3
ELF3
CGREF1
ANXA3
APLP1
F2RL1
FAM69B
CYR61
ALDH1A3
AKR1B1
BMP2
EFEMP2
FAXC
DEGS2
C2orf72
EPHA4
CLDN4
CIDEB
COL16A1
COL1A1
FAR2
CHST10
C4orf19
FABP3
CCDC80
C9orf152
BCAS1
CMTM3
ARHGAP23
EPCAM
CXCL2
CKB
ANGPTL4
CDK14
FJX1
CALB1
BIK
ALDH2
CGN
FNDC4
CCDC68
CCDC64B
ENPP5
C6orf141
A4GALT
FAM126A
EMP1
CDH3
ABCA3
BIRC3
ARSJ
C1orf51
CAPN12
EPHB3
ATP6V1C2
FOSL1
C10orf10
FAM149A
AMOTL1
C1QTNF1
ETV1
CYFIP2
ACE
CYP4F11
AMN
EGFL7
BDKRB2
ALDH3B2
APOBEC3G
ANTXR2
CACNG4
EFEMP1
FGD1
FAM101B
ACPP
ARL4D
FILIP1L
DTX3
CELSR2
F2R
C3
C19orf77
EGLN3
FAM105A
ALG1L
FAM229B
DZIP1L
CYBA
APOD
COLCA2
CHN2
EVPL
EPN3
ANKRD6
FAM211A
FOLR1
CHN1
ATP6V1B1
ABCG1
BCAM
EDN1
COL9A2
DNM1
CCDC88A
EPHX4
ALDH3B1
ALDH3A1
CYP4F3
ALS2CL
FOXC1
DLG4
ADAM19
DPYD
CLIC3
ASRGL1
CTSL
CHST3
CBR3
COBL
C10orf11
ETV5
DSC2
EEF1A2
ANPEP
ETS1
CYP4F12
FLRT3
FAM198B
FKBP1B
BEND7
C10orf54
C1orf115
FABP5
FAM83F
DNAJC22
DUSP6
DNALI1
AXL
COL27A1
FAM110C
CHDH
DEPTOR
CADPS2
ABLIM2
AKT3
EPB41L4A
CLIP4
ASPHD1
EFNB1
ARNT2
CCL28
APOC1
C2orf74
ATP8A1
EBF4
ADAMTSL5
AQP1
CFL2
ASS1
DNAJB5
CLDN7
FBXO27
DTX4
CYP2J2
ETS2
ARHGAP24
CD163L1
ERAP2
AS3MT
APOBEC3C
DSE
CYP39A1
DUSP5
CCDC85B
ADM
CENPV
EPHB6
B4GALNT1
DMTN
A1BG
ELMO3
BOC
ARHGEF16
FAM134B
CAMK1D
CITED4
CELSR1
BAI2
AGPAT4
BNIP3
ETV4
ETNK2
CTSH
BSPRY
ANKRD65
EPB41L2
ANG
